Format Version,1.23,Take Name,Take 2023-08-18 03.00.49 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-08-18 03.00.50.093 AM,Capture Start Frame,177424,Total Frames in Take,359,Total Exported Frames,359,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ur5,ur5,ur5,ur5,ur5,ur5,ur5,nist_board,nist_board,nist_board,nist_board,nist_board,nist_board,nist_board
,ID,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
60,0.500000,-0.000003,-0.000084,-0.000271,1.000000,-1.184542,-0.038908,0.351055,0.000000,0.000013,0.000001,1.000000,-1.029624,-0.147370,0.885932
61,0.508000,0.000020,-0.000087,-0.000366,1.000000,-1.184536,-0.038920,0.351054,-0.000019,0.000012,0.000055,1.000000,-1.029638,-0.147354,0.885933
62,0.517000,0.000002,-0.000087,-0.000312,1.000000,-1.184527,-0.038927,0.351042,-0.000024,-0.000002,0.000056,1.000000,-1.029642,-0.147351,0.885938
63,0.525000,-0.000040,-0.000117,-0.000267,1.000000,-1.184533,-0.038939,0.351048,-0.000006,0.000007,0.000060,1.000000,-1.029640,-0.147364,0.885930
64,0.533000,-0.000111,-0.000118,-0.000195,1.000000,-1.184526,-0.038940,0.351043,0.000001,0.000022,0.000045,1.000000,-1.029630,-0.147368,0.885914
65,0.542000,-0.000142,-0.000124,-0.000208,1.000000,-1.184512,-0.038931,0.351039,0.000009,0.000034,0.000086,1.000000,-1.029619,-0.147351,0.885935
66,0.550000,-0.000043,-0.000106,-0.000199,1.000000,-1.184499,-0.038915,0.351036,0.000020,0.000047,0.000045,1.000000,-1.029599,-0.147352,0.885936
67,0.558000,-0.000076,-0.000096,0.000062,1.000000,-1.184514,-0.038915,0.351037,0.000019,0.000024,0.000004,1.000000,-1.029612,-0.147342,0.885936
68,0.567000,0.000019,-0.000031,0.000066,1.000000,-1.184530,-0.038892,0.351042,-0.000004,0.000006,0.000023,1.000000,-1.029636,-0.147332,0.885929
69,0.575000,0.000015,-0.000065,0.000121,1.000000,-1.184529,-0.038892,0.351041,-0.000003,-0.000013,0.000010,1.000000,-1.029650,-0.147343,0.885922
